Date,Amount,Description,Account_Type,Subcode,Month
2022-01-27,2.75,NYCT PAYGO          NEW YORK            NY,amex_1,B-T,1
2022-03-01,2.75,NYCT PAYGO          NEW YORK            NY,amex_1,B-T,3
2022-03-02,2.75,NYCT PAYGO          NEW YORK            NY,amex_1,B-T,3
2022-03-09,2.75,NYCT PAYGO          NEW YORK            NY,amex_1,B-T,3
2022-03-10,2.75,NYCT PAYGO          NEW YORK            NY,amex_1,B-T,3
2022-04-30,2.75,NYCT PAYGO          NEW YORK            NY,amex_1,B-T,4
2022-05-16,2.75,NYCT PAYGO          NEW YORK            NY,amex_1,B-T,5
2022-05-24,2.75,NYCT PAYGO          NEW YORK            NY,amex_1,B-T,5
2022-05-31,2.75,NYCT PAYGO          NEW YORK            NY,amex_1,B-T,5
2022-06-05,2.75,NYCT PAYGO          NEW YORK            NY,amex_1,B-T,6
2022-06-18,2.75,NYCT PAYGO          NEW YORK            NY,amex_1,B-T,6
2022-06-20,2.75,NYCT PAYGO          NEW YORK            NY,amex_1,B-T,6
2022-07-16,2.75,NYCT PAYGO          NEW YORK            NY,amex_1,B-T,7
2022-07-27,2.75,NYCT PAYGO          NEW YORK            NY,amex_1,B-T,7
2022-10-16,2.75,NYCT PAYGO          NEW YORK            NY,amex_1,B-T,10
2022-11-13,2.75,NYCT PAYGO          NEW YORK            NY,amex_1,B-T,11
2022-12-18,2.75,NYCT PAYGO          NEW YORK            NY,amex_1,B-T,12
