Date,Amount,Description,Account_Type,Subcode,Month
2022-11-23,47.54,BEST BUY            NEW YORK            NY,amex_1,,11
2022-08-26,13.52,CHIPOTLE 0921 0000  NEW YORK            NY,amex_1,,8
2022-05-17,55.03,DELL INC            ROUND ROCK          TX,amex_1,,5
2022-06-16,4.51,EL TORO ROJO        ASTORIA             NY,amex_1,,6
2022-09-16,7.0,FRANKIE S DOGS ON THNEW YORK            NY,amex_1,,9
2022-03-10,3.64,LOS ALJIBES ALHAMBRAGRANADA             ES,amex_1,,3
2022-04-14,1.78,MANUEL J REGALOS 208CORDOBA             ES,amex_1,,4
2022-04-15,9.37,PAYMENT VENMO INTERNET PAYMENT,truist_1,,4
2022-01-22,28.04,PAYMENT VENMO INTERNET PAYMENT,truist_1,,1
2022-07-27,39.7,PAYMENT VENMO INTERNET PAYMENT,truist_1,,7
2022-04-28,9.03,PAYMENT VENMO INTERNET PAYMENT,truist_1,,4
2022-07-13,78.79,PAYMENT VENMO INTERNET PAYMENT,truist_1,,7
2022-07-30,40.14,PAYMENT VENMO INTERNET PAYMENT,truist_1,,7
2022-12-11,30.54,PAYMENT VENMO INTERNET PAYMENT,truist_1,,12
2022-10-03,18.35,PAYMENT VENMO INTERNET PAYMENT,truist_1,,10
2022-06-08,6.31,PAYMENT VENMO INTERNET PAYMENT,truist_1,,6
2022-04-20,12.33,PAYMENT VENMO INTERNET PAYMENT,truist_1,,4
2022-12-11,1.11,RIO METRO REGIONAL ALBUQUERQUE NM  DEBIT CARD PURCHASE,truist_1,,12
2022-06-09,23.71,RUBYS CANDY & GROCER,amex_1,,6
2022-10-23,28.48,ST PATRICK CHURCH DEBIT CARD PURCHASE,truist_1,,10
2022-02-15,5.92,T2 BOOK STORE       QUEENS              NY,amex_1,,2
2022-02-10,1050.0,TREAS DRCT TREASURY DIRECT AAAA  ACH DEBIT,truist_1,,2
2022-03-15,63.39,TST* FRANKLIN PARK,amex_1,,3
2022-06-15,-1.31,FOREIGN ATM SURCHARGE REBATE,truist_1,A-X,6
2022-04-27,13.5,JOES GOURMET DELI ATM NETWORK CASH WITHDRAWAL,truist_1,A-X,4
2022-09-29,-0.52,NEW YORK NY JOES GOURMET DELI FOREIGN ATM SURCHARGE REBATE,truist_1,A-X,9
2022-07-17,0.12,LIBRERIA SAN PABLO 06-14 SEVILLA DEBIT CARD INT'L TRAN FEE,truist_1,B-B,7
2022-04-01,9.4,MAGNIFICAT,amex_1,B-B,4
2022-08-18,10.09,CVS PHARMACY,amex_1,B-C,8
2022-03-27,4.08,CVS PHARMACY,amex_1,B-C,3
2022-01-03,21.68,DUANE READE,amex_1,B-C,1
2022-04-08,9.04,DUANE READE,amex_1,B-C,4
2022-08-02,12.59,DUANE READE         NEW YORK            NY,amex_1,B-C,8
2022-09-26,5.61,RITE AID,amex_1,B-C,9
2022-03-15,19.17,RITE AID,amex_1,B-C,3
2022-05-27,14.5,FLOWERS BY VALLI & ENew York            NY,amex_1,B-G,5
2022-08-08,49.82,FLOWERS BY VALLI&EVENew York            NY,amex_1,B-G,8
2022-07-25,14.3,FLOWERS BY VALLI&EVENew York            NY,amex_1,B-G,7
2022-11-27,11.77,FLOWERS BY VALLI&EVENew York            NY,amex_1,B-G,11
2022-06-21,8.49,CURB TAXI APP CURB TLONG IS CITY        NY,amex_1,B-R,6
2022-06-17,47.56,CURB TAXI APP CURB TLONG IS CITY        NY,amex_1,B-R,6
2022-11-30,31.49,CURB TAXI APP CURB TLONG IS CITY        NY,amex_1,B-R,11
2022-11-26,-47.33,CURB TAXI APP CURB TLONG IS CITY        NY,amex_1,B-R,11
2022-07-03,2.4,TAXI CORDOBA CORDOBA DEBIT CARD PURCHASE,truist_1,B-R,7
2022-03-09,2.75,GglPay NYCT PAYGO   NEW YORK            NY,amex_1,B-T,3
2022-06-16,2.75,GglPay NYCT PAYGO   NEW YORK            NY,amex_1,B-T,6
2022-09-19,2.75,GglPay NYCT PAYGO   NEW YORK            NY,amex_1,B-T,9
2022-10-30,2.75,GglPay NYCT PAYGO   NEW YORK            NY,amex_1,B-T,10
2022-12-29,8.89,MNR ETIX TICKET,amex_1,B-T,12
2022-12-19,9.49,MNR ETIX TICKET ,amex_1,B-T,12
2022-05-03,8.89,MNR ETIX TICKET     877-690-5116        NY,amex_1,B-T,5
2022-08-11,2.75,NYCT PAYGO          NEW YORK            NY,amex_1,B-T,8
2022-10-10,2.75,NYCT PAYGO          NEW YORK            NY,amex_1,B-T,10
2022-03-14,2.75,NYCT PAYGO          NEW YORK            NY,amex_1,B-T,3
2022-05-13,2.75,NYCT PAYGO          NEW YORK            NY,amex_1,B-T,5
2022-12-15,2.75,NYCT PAYGO          NEW YORK            NY,amex_1,B-T,12
2022-01-18,2.75,NYCT PAYGO          NEW YORK            NY,amex_1,B-T,1
2022-06-29,2.75,NYCT PAYGO          NEW YORK            NY,amex_1,B-T,6
2022-03-09,2.75,NYCT PAYGO          NEW YORK            NY,amex_1,B-T,3
2022-10-16,2.75,NYCT PAYGO          NEW YORK            NY,amex_1,B-T,10
2022-11-06,2.75,NYCT PAYGO          NEW YORK            NY,amex_1,B-T,11
2022-08-24,2.75,NYCT PAYGO          NEW YORK            NY,amex_1,B-T,8
2022-12-30,2.75,NYCT PAYGO          NEW YORK            NY,amex_1,B-T,12
2022-10-19,2.75,NYCT PAYGO          NEW YORK            NY,amex_1,B-T,10
2022-06-05,2.75,NYCT PAYGO          NEW YORK            NY,amex_1,B-T,6
2022-02-19,2.75,NYCT PAYGO          NEW YORK            NY,amex_1,B-T,2
2022-05-30,2.75,NYCT PAYGO          NEW YORK            NY,amex_1,B-T,5
2022-02-04,2.75,NYCT PAYGO          NEW YORK            NY,amex_1,B-T,2
2022-10-20,2.75,NYCT PAYGO          NEW YORK            NY,amex_1,B-T,10
2022-12-03,2.75,NYCT PAYGO          NEW YORK            NY,amex_1,B-T,12
2022-03-01,2.75,NYCT PAYGO          NEW YORK            NY,amex_1,B-T,3
2022-11-13,2.75,NYCT PAYGO          NEW YORK            NY,amex_1,B-T,11
2022-04-30,2.75,NYCT PAYGO          NEW YORK            NY,amex_1,B-T,4
2022-08-03,2.75,NYCT PAYGO          NEW YORK            NY,amex_1,B-T,8
2022-11-05,2.75,NYCT PAYGO          NEW YORK            NY,amex_1,B-T,11
2022-07-27,2.75,NYCT PAYGO          NEW YORK            NY,amex_1,B-T,7
2022-03-10,2.75,NYCT PAYGO          NEW YORK            NY,amex_1,B-T,3
2022-07-16,2.75,NYCT PAYGO          NEW YORK            NY,amex_1,B-T,7
2022-03-07,2.75,NYCT PAYGO          NEW YORK            NY,amex_1,B-T,3
2022-06-20,2.75,NYCT PAYGO          NEW YORK            NY,amex_1,B-T,6
2022-07-27,2.75,NYCT PAYGO          NEW YORK            NY,amex_1,B-T,7
2022-10-16,2.75,NYCT PAYGO          NEW YORK            NY,amex_1,B-T,10
2022-07-07,2.75,NYCT PAYGO          NEW YORK            NY,amex_1,B-T,7
2022-05-31,2.75,NYCT PAYGO          NEW YORK            NY,amex_1,B-T,5
2022-08-23,2.75,NYCT PAYGO          NEW YORK            NY,amex_1,B-T,8
2022-05-14,2.75,NYCT PAYGO          NEW YORK            NY,amex_1,B-T,5
2022-08-30,2.75,NYCT PAYGO          NEW YORK            NY,amex_1,B-T,8
2022-04-30,2.75,NYCT PAYGO          NEW YORK            NY,amex_1,B-T,4
2022-03-02,2.75,NYCT PAYGO          NEW YORK            NY,amex_1,B-T,3
2022-04-23,2.75,NYCT PAYGO          NEW YORK            NY,amex_1,B-T,4
2022-09-15,2.75,NYCT PAYGO          NEW YORK            NY,amex_1,B-T,9
2022-05-24,2.75,NYCT PAYGO          NEW YORK            NY,amex_1,B-T,5
2022-07-04,2.75,NYCT PAYGO          NEW YORK            NY,amex_1,B-T,7
2022-10-23,2.75,NYCT PAYGO          NEW YORK            NY,amex_1,B-T,10
2022-06-04,2.75,NYCT PAYGO          NEW YORK            NY,amex_1,B-T,6
2022-11-25,2.75,NYCT PAYGO          NEW YORK            NY,amex_1,B-T,11
2022-04-04,2.75,NYCT PAYGO          NEW YORK            NY,amex_1,B-T,4
2022-02-08,2.75,NYCT PAYGO          NEW YORK            NY,amex_1,B-T,2
2022-09-02,2.75,NYCT PAYGO          NEW YORK            NY,amex_1,B-T,9
2022-06-18,2.75,NYCT PAYGO          NEW YORK            NY,amex_1,B-T,6
2022-09-26,2.75,NYCT PAYGO          NEW YORK            NY,amex_1,B-T,9
2022-07-26,2.75,NYCT PAYGO          NEW YORK            NY,amex_1,B-T,7
