Date,Amount,Description,Account_Type,Subcode,Month
6/15/2022,-1.31,FOREIGN ATM SURCHARGE REBATE,truist_1,A-X,6
4/27/2022,13.5,JOES GOURMET DELI ATM NETWORK CASH WITHDRAWAL,truist_1,A-X,4
9/29/2022,-0.52,NEW YORK NY JOES GOURMET DELI FOREIGN ATM SURCHARGE REBATE,truist_1,A-X,9
7/17/2022,0.12,LIBRERIA SAN PABLO 06-14 SEVILLA DEBIT CARD INT'L TRAN FEE,truist_1,B-B,7
4/1/2022,9.4,MAGNIFICAT,amex_1,B-B,4
2/15/2022,5.92,T2 BOOK STORE       QUEENS              NY,amex_1,B-B,2
8/18/2022,10.09,CVS PHARMACY,amex_1,B-C,8
3/27/2022,4.08,CVS PHARMACY,amex_1,B-C,3
1/3/2022,21.68,DUANE READE,amex_1,B-C,1
4/8/2022,9.04,DUANE READE,amex_1,B-C,4
8/2/2022,12.59,DUANE READE         NEW YORK            NY,amex_1,B-C,8
9/26/2022,5.61,RITE AID,amex_1,B-C,9
3/15/2022,19.17,RITE AID,amex_1,B-C,3
5/27/2022,14.5,FLOWERS BY VALLI & ENew York            NY,amex_1,B-G,5
8/8/2022,49.82,FLOWERS BY VALLI&EVENew York            NY,amex_1,B-G,8
7/25/2022,14.3,FLOWERS BY VALLI&EVENew York            NY,amex_1,B-G,7
11/27/2022,11.77,FLOWERS BY VALLI&EVENew York            NY,amex_1,B-G,11
6/21/2022,8.49,CURB TAXI APP CURB TLONG IS CITY        NY,amex_1,B-R,6
6/17/2022,47.56,CURB TAXI APP CURB TLONG IS CITY        NY,amex_1,B-R,6
11/30/2022,31.49,CURB TAXI APP CURB TLONG IS CITY        NY,amex_1,B-R,11
11/26/2022,-47.33,CURB TAXI APP CURB TLONG IS CITY        NY,amex_1,B-R,11
7/27/2022,39.7,PAYMENT VENMO INTERNET PAYMENT,truist_1,B-R,7
4/28/2022,9.03,PAYMENT VENMO INTERNET PAYMENT,truist_1,B-R,4
7/13/2022,78.79,PAYMENT VENMO INTERNET PAYMENT,truist_1,B-R,7
12/11/2022,30.54,PAYMENT VENMO INTERNET PAYMENT,truist_1,B-R,12
6/8/2022,6.31,PAYMENT VENMO INTERNET PAYMENT,truist_1,B-R,6
7/3/2022,2.4,TAXI CORDOBA CORDOBA DEBIT CARD PURCHASE,truist_1,B-R,7
3/9/2022,2.75,GglPay NYCT PAYGO   NEW YORK            NY,amex_1,B-T,3
6/16/2022,2.75,GglPay NYCT PAYGO   NEW YORK            NY,amex_1,B-T,6
9/19/2022,2.75,GglPay NYCT PAYGO   NEW YORK            NY,amex_1,B-T,9
10/30/2022,2.75,GglPay NYCT PAYGO   NEW YORK            NY,amex_1,B-T,10
12/29/2022,8.89,MNR ETIX TICKET,amex_1,B-T,12
12/19/2022,9.49,MNR ETIX TICKET ,amex_1,B-T,12
5/3/2022,8.89,MNR ETIX TICKET     877-690-5116        NY,amex_1,B-T,5
8/11/2022,2.75,NYCT PAYGO          NEW YORK            NY,amex_1,B-T,8
10/10/2022,2.75,NYCT PAYGO          NEW YORK            NY,amex_1,B-T,10
3/14/2022,2.75,NYCT PAYGO          NEW YORK            NY,amex_1,B-T,3
5/13/2022,2.75,NYCT PAYGO          NEW YORK            NY,amex_1,B-T,5
12/15/2022,2.75,NYCT PAYGO          NEW YORK            NY,amex_1,B-T,12
1/18/2022,2.75,NYCT PAYGO          NEW YORK            NY,amex_1,B-T,1
6/29/2022,2.75,NYCT PAYGO          NEW YORK            NY,amex_1,B-T,6
3/9/2022,2.75,NYCT PAYGO          NEW YORK            NY,amex_1,B-T,3
10/16/2022,2.75,NYCT PAYGO          NEW YORK            NY,amex_1,B-T,10
11/6/2022,2.75,NYCT PAYGO          NEW YORK            NY,amex_1,B-T,11
8/24/2022,2.75,NYCT PAYGO          NEW YORK            NY,amex_1,B-T,8
12/30/2022,2.75,NYCT PAYGO          NEW YORK            NY,amex_1,B-T,12
10/19/2022,2.75,NYCT PAYGO          NEW YORK            NY,amex_1,B-T,10
6/5/2022,2.75,NYCT PAYGO          NEW YORK            NY,amex_1,B-T,6
2/19/2022,2.75,NYCT PAYGO          NEW YORK            NY,amex_1,B-T,2
5/30/2022,2.75,NYCT PAYGO          NEW YORK            NY,amex_1,B-T,5
2/4/2022,2.75,NYCT PAYGO          NEW YORK            NY,amex_1,B-T,2
10/20/2022,2.75,NYCT PAYGO          NEW YORK            NY,amex_1,B-T,10
12/3/2022,2.75,NYCT PAYGO          NEW YORK            NY,amex_1,B-T,12
3/1/2022,2.75,NYCT PAYGO          NEW YORK            NY,amex_1,B-T,3
11/13/2022,2.75,NYCT PAYGO          NEW YORK            NY,amex_1,B-T,11
4/30/2022,2.75,NYCT PAYGO          NEW YORK            NY,amex_1,B-T,4
8/3/2022,2.75,NYCT PAYGO          NEW YORK            NY,amex_1,B-T,8
11/5/2022,2.75,NYCT PAYGO          NEW YORK            NY,amex_1,B-T,11
7/27/2022,2.75,NYCT PAYGO          NEW YORK            NY,amex_1,B-T,7
3/10/2022,2.75,NYCT PAYGO          NEW YORK            NY,amex_1,B-T,3
7/16/2022,2.75,NYCT PAYGO          NEW YORK            NY,amex_1,B-T,7
3/7/2022,2.75,NYCT PAYGO          NEW YORK            NY,amex_1,B-T,3
6/20/2022,2.75,NYCT PAYGO          NEW YORK            NY,amex_1,B-T,6
7/27/2022,2.75,NYCT PAYGO          NEW YORK            NY,amex_1,B-T,7
10/16/2022,2.75,NYCT PAYGO          NEW YORK            NY,amex_1,B-T,10
7/7/2022,2.75,NYCT PAYGO          NEW YORK            NY,amex_1,B-T,7
5/31/2022,2.75,NYCT PAYGO          NEW YORK            NY,amex_1,B-T,5
8/23/2022,2.75,NYCT PAYGO          NEW YORK            NY,amex_1,B-T,8
5/14/2022,2.75,NYCT PAYGO          NEW YORK            NY,amex_1,B-T,5
8/30/2022,2.75,NYCT PAYGO          NEW YORK            NY,amex_1,B-T,8
4/30/2022,2.75,NYCT PAYGO          NEW YORK            NY,amex_1,B-T,4
3/2/2022,2.75,NYCT PAYGO          NEW YORK            NY,amex_1,B-T,3
4/23/2022,2.75,NYCT PAYGO          NEW YORK            NY,amex_1,B-T,4
9/15/2022,2.75,NYCT PAYGO          NEW YORK            NY,amex_1,B-T,9
5/24/2022,2.75,NYCT PAYGO          NEW YORK            NY,amex_1,B-T,5
7/4/2022,2.75,NYCT PAYGO          NEW YORK            NY,amex_1,B-T,7
10/23/2022,2.75,NYCT PAYGO          NEW YORK            NY,amex_1,B-T,10
6/4/2022,2.75,NYCT PAYGO          NEW YORK            NY,amex_1,B-T,6
11/25/2022,2.75,NYCT PAYGO          NEW YORK            NY,amex_1,B-T,11
4/4/2022,2.75,NYCT PAYGO          NEW YORK            NY,amex_1,B-T,4
2/8/2022,2.75,NYCT PAYGO          NEW YORK            NY,amex_1,B-T,2
9/2/2022,2.75,NYCT PAYGO          NEW YORK            NY,amex_1,B-T,9
6/18/2022,2.75,NYCT PAYGO          NEW YORK            NY,amex_1,B-T,6
9/26/2022,2.75,NYCT PAYGO          NEW YORK            NY,amex_1,B-T,9
