Date,Description,Amount
5/6/2022,310 BOWERY 0000     NEW YORK            NY,32.94
1/9/2022,AIRBNB SAN FRANCISCO       CA,132.3
11/6/2022,ALHEGAZY HALAL FOOD NEW YORK            NY,3.2
11/8/2022,Arts and Crafts BeerNew York            NY,11.03
11/23/2022,BEST BUY            NEW YORK            NY,47.54
9/23/2022,BM * JUNKO SUSHI,16.71
1/15/2022,BY THE WAY BAKERY,2.22
10/10/2022,CAFE CASTRO         Santa Fe            NM,19.05
12/17/2022,CAFE METRO NEW YORK            NY,0.95
6/16/2022,CAFE ON THE AVE     SEATTLE             WA,13.16
5/17/2022,CATHOLIC CHARITIES,35
5/8/2022,CATHOLIC RELIEF SERV410-9517495         MD,55.17
8/26/2022,CHIPOTLE 0921 0000  NEW YORK            NY,13.52
8/9/2022,CITY FRESH MARKET,8.43
7/30/2022,CITY FRESH MARKET 00ASTORIA             NY,10.33
4/8/2022,CITY FRESH MARKET 00ASTORIA             NY,25.86
4/29/2022,CLIPPER SYSTEMS MOBICONCORD             CA,4.52
9/2/2022,CMSVEND*CV,3.71
4/21/2022,CMSVEND*CV,1.73
12/5/2022,CMSVEND*CV,1.57
5/25/2022,CMSVEND*CV FARMINGDAAMITYVILLE          NY,0.28
7/19/2022,CMSVEND*CV FARMINGDAAMITYVILLE          NY,0.46
7/16/2022,CMSVEND*CV FARMINGDAAMITYVILLE          NY,0.5
3/6/2022,CMSVEND*CV FARMINGDAAMITYVILLE          NY,0.78
10/29/2022,CMSVEND*CV FARMINGDAAMITYVILLE          NY,0.58
6/21/2022,CURB TAXI APP CURB TLONG IS CITY        NY,8.49
6/17/2022,CURB TAXI APP CURB TLONG IS CITY        NY,47.56
11/30/2022,CURB TAXI APP CURB TLONG IS CITY        NY,31.49
11/26/2022,CURB TAXI APP CURB TLONG IS CITY        NY,-47.33
8/18/2022,CVS PHARMACY,10.09
3/27/2022,CVS PHARMACY,4.08
2/18/2022,D J*WALL-ST-JOURNAL 800-568-7625        MA,4
12/7/2022,D J*WALL-ST-JOURNAL 800-568-7625        MA,4
12/29/2022,D J*WALL-ST-JOURNAL 800-568-7625        MA,4
5/17/2022,DELL INC            ROUND ROCK          TX,55.03
9/28/2022,DELTA AIR LINES,238.54
2/18/2022,DELTA AIR LINES,287.87
10/16/2022,DELTA AIR LINES,2.41
2/4/2022,DELTA AIR LINES,6.44
8/5/2022,DELTA AIR LINES,8.22
2/26/2022,DELTA AIR LINES,8.31
5/4/2022,DELTA AIR LINES     ATLANTA,4.56
7/27/2022,DEUTSCHE LUFTHANSA AKoeln,5.5
1/3/2022,DUANE READE,21.68
4/8/2022,DUANE READE,9.04
8/2/2022,DUANE READE         NEW YORK            NY,12.59
6/16/2022,EL TORO ROJO        ASTORIA             NY,4.51
5/27/2022,FLOWERS BY VALLI & ENew York            NY,14.5
8/8/2022,FLOWERS BY VALLI&EVENew York            NY,49.82
7/25/2022,FLOWERS BY VALLI&EVENew York            NY,14.3
11/27/2022,FLOWERS BY VALLI&EVENew York            NY,11.77
3/18/2022,FOCUS 303-962-5750  GOLDEN              CO,20.96
8/20/2022,FOOD HALL D         FLUSHING            NY,1.81
9/16/2022,FRANKIE S DOGS ON THNEW YORK            NY,7
1/17/2022,FRIEDMANS 000000001 NEW YORK            NY,39.37
4/24/2022,GglPay MADISON CAFE BRONX               NY,9.88
11/4/2022,GglPay MORTON WILLIANEW YORK            NY,4.15
5/11/2022,GglPay NJT RAIL MY-TNEWARK              NJ,9.55
2/8/2022,GglPay NJT RAIL MY-TNEWARK              NJ,11.59
3/9/2022,GglPay NYCT PAYGO   NEW YORK            NY,2.75
6/16/2022,GglPay NYCT PAYGO   NEW YORK            NY,2.75
9/19/2022,GglPay NYCT PAYGO   NEW YORK            NY,2.75
10/30/2022,GglPay NYCT PAYGO   NEW YORK            NY,2.75
3/2/2022,GglPay SLICE*KORONETNEW YORK CITY       NY,65.01
3/10/2022,GIV*ROMAN CATHOL    NEW YORK            NY,35
1/2/2022,GOFUNDME,20
12/3/2022,HAMILTON DELI NEW YORK            NY,7.13
12/11/2022,HOMEDEPOT.COM,30.85
8/26/2022,HOODA HALAL FOOD    Levittown           NY,7.93
12/14/2022,IKEA                BROOKLYN            NY,3.2
4/11/2022,IKEA                BROOKLYN            NY,7.75
12/18/2022,INTERNATIONAL WINES NEW YORK            NY,4.73
11/10/2022,INTERNATIONAL WINES NEW YORK            NY,5.81
12/10/2022,KING OF FALAFEL,21.77
8/9/2022,KING OF FALAFEL & SHASTORIA             NY,23.71
9/27/2022,KING OF FALAFEL & SHASTORIA             NY,8.03
11/28/2022,"KLEAN KANTEEN, INC.-CHICO               CA",11.28
4/12/2022,La Salle Dumpling,10.72
3/10/2022,LOS ALJIBES ALHAMBRAGRANADA             ES,3.64
11/23/2022,MADISON CAFE,4.63
11/17/2022,MADISON CAFE,7.92
8/15/2022,MADISON CAFE,4.39
5/29/2022,MADISON CAFE,7.16
4/1/2022,MAGNIFICAT,9.4
4/14/2022,MANUEL J REGALOS 208CORDOBA             ES,1.78
6/3/2022,MEL'S BURGER BAR    NEW YORK            NY,7.65
4/16/2022,MILANO MARKET SANDWINEW YORK            NY,5.2
12/29/2022,MNR ETIX TICKET,8.89
12/19/2022,MNR ETIX TICKET ,9.49
5/3/2022,MNR ETIX TICKET     877-690-5116        NY,8.89
1/11/2022,MOBILE PAYMENT - THANK YOU,-223.84
5/29/2022,MOBILE PAYMENT - THANK YOU,-707.79
